ID_EEG: 1, ID_GSR_ECG: 1, Timestamp: 18:20:19, Resultado_EEG: 1, GSR: 74.0, ECG: 0.0, GSR_classificado: [5], ECG_classificado: [7], Amostras_EEG: 20
ID_EEG: 1, ID_GSR_ECG: 2, Timestamp: 18:20:19, Resultado_EEG: 1, GSR: 74.0, ECG: 0.0, GSR_classificado: [5], ECG_classificado: [7], Amostras_EEG: 20
ID_EEG: 1, ID_GSR_ECG: 3, Timestamp: 18:20:19, Resultado_EEG: 1, GSR: 57.0, ECG: 0.0, GSR_classificado: [5], ECG_classificado: [7], Amostras_EEG: 20
ID_EEG: 1, ID_GSR_ECG: 4, Timestamp: 18:20:19, Resultado_EEG: 1, GSR: 67.0, ECG: 0.0, GSR_classificado: [5], ECG_classificado: [7], Amostras_EEG: 20
ID_EEG: 1, ID_GSR_ECG: 5, Timestamp: 18:20:19, Resultado_EEG: 1, GSR: 69.0, ECG: 0.0, GSR_classificado: [5], ECG_classificado: [7], Amostras_EEG: 20
ID_EEG: 1, ID_GSR_ECG: 6, Timestamp: 18:20:19, Resultado_EEG: 1, GSR: 69.0, ECG: 0.0, GSR_classificado: [5], ECG_classificado: [7], Amostras_EEG: 20
ID_EEG: 1, ID_GSR_ECG: 7, Timestamp: 18:20:19, Resultado_EEG: 1, GSR: 70.0, ECG: 0.0, GSR_classificado: [5], ECG_classificado: [7], Amostras_EEG: 20
ID_EEG: 1, ID_GSR_ECG: 8, Timestamp: 18:20:19, Resultado_EEG: 1, GSR: 72.0, ECG: 0.0, GSR_classificado: [5], ECG_classificado: [7], Amostras_EEG: 20
ID_EEG: 21, ID_GSR_ECG: 21, Timestamp: 18:20:20, Resultado_EEG: 1, GSR: 68.0, ECG: 0.0, GSR_classificado: [5], ECG_classificado: [7], Amostras_EEG: 20
ID_EEG: 21, ID_GSR_ECG: 22, Timestamp: 18:20:20, Resultado_EEG: 1, GSR: 70.0, ECG: 0.0, GSR_classificado: [5], ECG_classificado: [7], Amostras_EEG: 20
ID_EEG: 21, ID_GSR_ECG: 23, Timestamp: 18:20:20, Resultado_EEG: 1, GSR: 69.0, ECG: 0.0, GSR_classificado: [5], ECG_classificado: [7], Amostras_EEG: 20
